user_id,year_of_birth,gender,region,living_standards_measure,highest_education,employment,internet_access,cable_tv_subscription,survey_completion,survey_participation_consent,bank_account,bank,last_interaction_with_bank,likelihood_to_recommend,comment_on_why,themes,start_time(GMT),time_of_last_update(GMT)
2913766,1995,Male,nairobi,9 to 12,Completed Uni,Own my own company,Yes,No,FINISHED,YES,Yes,CBA,Internet banking,9,Fast and efficient,speed/efficiency,00:02.8,06:17.1
2302073,1994,Male,coast,13 to 17,Completed Uni,Skilled worker,Yes,Yes,TIMEDOUT,-,-,-,-,-,-,,00:02.8,00:06.9
2314782,1996,Female,riftvalley,NA,NA,Other/Unemployed,NA,NA,FINISHED,YES,Yes,Co-operative,Customer service desk/ enquiries,10,Their services are quick and good,"service,speed/efficiency",00:03.2,03:06.7
2955269,1999,Male,eastern,9 to 12,Some University,Student,Yes,No,FINISHED,YES,Yes,Equity,Bank agent/ agency banking,8,Efficiency,speed/efficiency,00:03.2,49:23.4
17404759,1996,Male,nairobi,9 to 12,No school,Student,Yes,No,TIMEDOUT,-,-,-,-,-,-,,00:03.2,00:07.5
18002835,1999,Female,riftvalley,5 to 8,In Uni,Student,Yes,No,FINISHED,YES,Yes,Equity,Teller or Branch transactions,9,It is convenient anywhere because there are many equity agents even in interior places,"accessibility,staff",00:03.2,03:42.2
17396937,1994,Female,nairobi,1 to 4,In Secondary,Other/Unemployed,No,No,TIMEDOUT,-,-,-,-,-,-,,00:03.2,00:07.5
18002892,1998,Male,nyanza,5 to 8,In College,Skilled worker,Yes,Yes,FINISHED,YES,No,-,-,-,-,,00:03.2,04:13.3
18001821,1996,Male,riftvalley,9 to 12,In Secondary,Student,Yes,Yes,TIMEDOUT,-,-,-,-,-,-,,00:03.3,00:07.5
18002995,1999,Female,nairobi,5 to 8,In Uni,Student,Yes,No,FINISHED,YES,Yes,Equity,Mobile banking,9,Easily accessible,accessibility,00:03.3,33:02.3
2947444,1993,Male,central,9 to 12,Completed University,Other/Unemployed,Yes,No,FINISHED,YES,Yes,Co-operative,Bank agent/ agency banking,6,It is good,,00:03.3,04:59.9
2904413,1997,Male,nairobi,13 to 17,In Uni,Student,Yes,Yes,FINISHED,YES,Yes,KCB,ATM,4,Mmh too many customers but the services are slow,"service,speed/efficiency",00:03.4,23:11.8
18002204,1997,Female,NA,9 to 12,In College,Student,Yes,No,FINISHED,YES,No,-,-,-,-,,00:03.5,01:09.9
5747776,1993,Male,western,5 to 8,Completed College,Student,Yes,No,TIMEDOUT,-,-,-,-,-,-,,00:03.5,00:07.5
2950102,1996,Male,nyanza,9 to 12,In Uni,Student,Yes,Yes,FINISHED,YES,Yes,KCB,Mobile banking,8,High charges to send money to Mpesa,mobile_banking,00:03.5,03:39.4
5615110,1996,Female,riftvalley,13 to 17,In Uni,Student,Yes,Yes,FINISHED,YES,Yes,Co-operative,ATM,8,"It''s fast, reliable and good services","service,speed/efficiency",00:03.6,28:47.9
18002736,NA,Male,NA,NA,NA,NA,NA,NA,TIMEDOUT,-,-,-,-,-,-,,00:03.6,00:07.6
2926231,1990,Male,nairobi,9 to 12,Completed University,Skilled worker,Yes,No,FINISHED,YES,Yes,KCB,Bank agent/ agency banking,8,They value their customers and no delay,service,00:03.6,02:23.1
2925796,1997,Female,western,5 to 8,Some Uni,Student,Yes,No,FINISHED,YES,No,-,-,-,-,,00:03.6,58:36.5
2306279,1995,Male,central,5 to 8,Some University,Student,Yes,No,FINISHED,YES,Yes,Equity,Bank agent/ agency banking,10,7,,00:03.6,12:08.6
17400902,1996,Female,central,13 to 17,In Uni,Own my own company,Yes,Yes,FINISHED,YES,Yes,National Bank,ATM,10,Very convinient and available in every town,accessibility,00:03.7,05:31.8
18002975,1998,Male,riftvalley,1 to 4,Some Secondary,Skilled worker,No,No,FINISHED,YES,No,-,-,-,-,,00:03.7,47:18.7
2932403,1998,Male,riftvalley,5 to 8,Completed Secondary,Student,Yes,No,TIMEDOUT,-,-,-,-,-,-,,00:03.8,00:07.5
17398827,1997,Female,central,13 to 17,Completed Secondary,Own my own company,Yes,Yes,TIMEDOUT,-,-,-,-,-,-,,00:03.9,00:07.5
18002859,NA,Female,NA,NA,NA,NA,NA,NA,TIMEDOUT,-,-,-,-,-,-,,00:03.9,00:07.6
2270405,1994,Male,nyanza,9 to 12,Completed Uni,Skilled worker,Yes,No,FINISHED,YES,Yes,Equity,Mobile banking,8,nice service,"security,service",00:04.0,34:37.9
2948182,1996,Female,riftvalley,NA,NA,Other/Unemployed,Yes,Yes,FINISHED,YES,Yes,Other,Mobile banking,8,Customer centric,service,00:04.0,19:54.9
17394292,1996,Female,riftvalley,5 to 8,Completed Secondary,Student,Yes,No,FINISHED,YES,Yes,KCB,Teller or Branch transactions,8,Very available,,00:04.0,02:35.6
2953734,1995,Female,coast,NA,NA,Other/Unemployed,NA,NA,FINISHED,YES,Yes,Equity,Teller or Branch transactions,10,Highly convenient,accessibility,00:04.0,03:39.6
2292613,1996,Female,nairobi,9 to 12,Completed Secondary,Skilled worker,Yes,No,FINISHED,YES,Yes,KCB,Bank agent/ agency banking,5,Its a good bank,,00:04.0,03:05.8
2908096,1995,Male,nyanza,NA,NA,Other/Unemployed,NA,NA,FINISHED,YES,Yes,KCB,Mobile banking,6,"In as much as their services are commendable, the charges that come with them are so high",service,00:04.0,48:47.9
18002363,1995,Male,NA,9 to 12,In College,Other/Unemployed,Yes,No,TIMEDOUT,-,-,-,-,-,-,,00:02.7,00:03.0
18002733,1992,Female,riftvalley,5 to 8,Completed College,Other/Unemployed,Yes,No,TIMEDOUT,-,-,-,-,-,-,,00:02.8,00:03.0
18002238,1997,Female,eastern,5 to 8,In Uni,Student,Yes,Yes,TIMEDOUT,-,-,-,-,-,-,,00:02.8,00:03.0
2289850,1999,Male,riftvalley,5 to 8,Some University,Student,Yes,No,FINISHED,YES,No,-,-,-,-,,00:02.8,10:05.6
2932328,1992,Male,coast,5 to 8,Completed College,Student,Yes,No,FINISHED,YES,Yes,Stanbic Bank,ATM,10,Good services,service,00:02.9,02:20.5
2280188,1993,Male,nairobi,9 to 12,Some University,Student,Yes,No,FINISHED,YES,Yes,KCB,ATM,10,Its branches are available country wide and its reliable.,"facilities,speed/efficiency",00:02.9,57:36.0
17406712,1994,Female,western,1 to 4,In College,Student,No,No,FINISHED,YES,No,-,-,-,-,,00:02.9,06:24.8
5591076,1994,Male,central,NA,NA,Other/Unemployed,NA,NA,TIMEDOUT,-,-,-,-,-,-,,00:02.9,00:03.1
2304057,1991,Male,nyanza,NA,NA,Street or Market Seller,No,NA,FINISHED,YES,Yes,KCB,Mobile banking,9,Quality services,service,00:02.9,04:22.3
2954214,1992,Male,riftvalley,5 to 8,Completed Primary,Other/Unemployed,Yes,No,TIMEDOUT,-,-,-,-,-,-,,00:03.1,00:03.1
2929272,1994,Female,eastern,NA,NA,Student,Yes,No,FINISHED,YES,No,-,-,-,-,,00:03.2,01:31.6
18002432,2000,Male,riftvalley,9 to 12,In College,Student,Yes,No,FINISHED,YES,Yes,KCB,Mobile banking,7,They are efficient,speed/efficiency,00:03.2,02:40.8
18003004,1998,Female,NA,5 to 8,Some Primary,Own my own company,No,No,FINISHED,YES,Yes,KCB,Teller or Branch transactions,0,I like,,00:03.2,52:56.0
17391966,1998,Female,eastern,9 to 12,In College,Student,Yes,No,FINISHED,YES,Yes,Equity,Teller or Branch transactions,5,It fairly favourable,,00:03.2,54:26.0
2894107,1996,Male,riftvalley,NA,NA,Student,Yes,NA,TIMEDOUT,-,-,-,-,-,-,,00:03.3,00:03.1
2909593,1995,Female,riftvalley,9 to 12,Completed College,Street or Market Seller,Yes,No,TIMEDOUT,-,-,-,-,-,-,,00:03.3,00:02.6
2924535,1998,Female,riftvalley,5 to 8,In Uni,Student,Yes,No,TIMEDOUT,-,-,-,-,-,-,,00:03.3,00:03.1
17406152,1996,Male,eastern,13 to 17,No school,Student,Yes,Yes,FINISHED,YES,Yes,KCB,Bank agent/ agency banking,10,Because it gives loans at low interest,loan,00:03.3,05:42.5
2292510,1991,Male,riftvalley,9 to 12,Completed University,Non-skilled worker,Yes,No,TIMEDOUT,-,-,-,-,-,-,,00:03.4,00:03.1
5611451,1970,Male,nairobi,9 to 12,Completed College,Student,Yes,No,FINISHED,YES,No,-,-,-,-,,00:03.5,17:38.8
2283907,1998,Male,riftvalley,5 to 8,Some Secondary,Student,Yes,No,FINISHED,YES,No,-,-,-,-,,00:03.5,30:29.3
18002828,1995,Female,riftvalley,1 to 4,Some College,Other/Unemployed,No,No,FINISHED,YES,No,-,-,-,-,,00:03.6,14:17.6
2273411,1990,Male,nairobi,NA,NA,Student,No,NA,TIMEDOUT,-,-,-,-,-,-,,00:03.6,00:03.1
18001787,1998,Female,riftvalley,9 to 12,Completed College,Street / Market Seller,Yes,Yes,TIMEDOUT,-,-,-,-,-,-,,00:03.6,00:03.1
2926620,1992,Male,riftvalley,13 to 17,Completed College,Skilled worker,Yes,No,FINISHED,YES,Yes,KCB,Mobile banking,10,Lower interest rates on loans,"loan,rates/charges",00:03.6,14:05.4
18002088,1996,Male,nyanza,5 to 8,In Uni,Student,No,No,TIMEDOUT,-,-,-,-,-,-,,00:03.6,00:03.0
17404978,1981,Female,eastern,1 to 4,Completed Secondary,Other/Unemployed,No,No,FINISHED,YES,No,-,-,-,-,,00:03.6,00:58.7
18002279,1995,Male,NA,NA,NA,Street / Market Seller,Yes,Yes,TIMEDOUT,YES,Yes,Equity,-,-,-,,00:03.7,00:03.1
18002156,NA,Male,NA,NA,NA,NA,NA,NA,TIMEDOUT,-,-,-,-,-,-,,00:03.8,00:03.1
2940422,1986,Male,riftvalley,5 to 8,Some Primary,Farm owner,Yes,No,TIMEDOUT,-,-,-,-,-,-,,00:03.8,00:03.0
5609528,1991,Female,riftvalley,NA,NA,Other/Unemployed,Yes,Yes,FINISHED,YES,Yes,Equity,Mobile banking,8,Good services,service,00:03.8,02:08.2
5612014,1996,Male,nairobi,9 to 12,Some University,Student,Yes,No,FINISHED,YES,Yes,Equity,Mobile banking,10,More convenient and easy,"accessibility,speed/efficiency",00:03.9,08:13.5
18002408,2002,Female,eastern,1 to 4,In Secondary,Student,No,No,FINISHED,YES,No,-,-,-,-,,00:03.9,01:10.8
2292233,1993,Male,riftvalley,NA,Completed College,Other/Unemployed,Yes,No,FINISHED,YES,Yes,National Bank,Customer service desk/ enquiries,8,They give reliable information about their services,"information/communication,service,speed/efficiency",00:03.9,03:33.3
2936008,1990,Male,nyanza,9 to 12,Completed College,Skilled worker,Yes,No,TIMEDOUT,-,-,-,-,-,-,,00:03.9,00:03.0
18002324,1995,Male,coast,5 to 8,Completed Secondary,Other/Unemployed,Yes,No,FINISHED,YES,No,-,-,-,-,,00:03.9,28:24.0
2904891,1970,Male,nyanza,1 to 4,Completed Secondary,Other/Unemployed,No,No,FINISHED,YES,No,-,-,-,-,,00:03.9,01:20.6
17376944,1997,Female,nyanza,13 to 17,In Uni,Student,Yes,Yes,FINISHED,YES,Yes,KCB,Call centre,10,Its services are good,service,00:02.7,02:33.6
18002568,NA,Female,eastern,1 to 4,Some Secondary,Other/Unemployed,No,No,FINISHED,YES,No,-,-,-,-,,00:02.7,33:55.2
18002489,1995,Female,NA,NA,NA,Student,Yes,Yes,FINISHED,YES,Yes,Equity,Social media,10,Their customer service is at par,service,00:02.7,18:45.5
5093793,1990,Female,western,1 to 4,Completed Secondary,Other/Unemployed,No,No,FINISHED,YES,No,-,-,-,-,,00:02.8,43:36.1
2934282,1996,Male,coast,NA,NA,Other/Unemployed,NA,NA,FINISHED,YES,Yes,Equity,ATM,2,10,,00:02.8,55:57.0
2324103,1997,Male,eastern,13 to 17,Some University,Student,Yes,Yes,FINISHED,YES,Yes,KCB,Teller or Branch transactions,10,7,,00:02.8,35:09.0
17397151,1997,Male,nyanza,9 to 12,In Uni,Student,Yes,No,FINISHED,YES,Yes,Other,ATM,10,Efficiency,speed/efficiency,00:02.8,02:53.8
18003122,1987,Female,riftvalley,1 to 4,Completed Secondary,Other/Unemployed,No,No,TIMEDOUT,-,-,-,-,-,-,,00:02.8,00:03.5
2887031,1984,Female,Coast,5 to 8,Some Primary,Other/Unemployed,Yes,No,TIMEDOUT,YES,Yes,KCB,Mobile banking,-,-,,00:02.8,00:03.6
18002168,2000,Female,riftvalley,5 to 8,Completed Secondary,Student,No,No,TIMEDOUT,-,-,-,-,-,-,,00:03.1,00:03.4
2917061,1995,Male,nyanza,NA,Some University,Other/Unemployed,No,No,TIMEDOUT,-,-,-,-,-,-,,00:03.1,00:03.6
5616939,1990,Male,riftvalley,NA,NA,Other/Unemployed,Yes,NA,FINISHED,YES,Yes,National Bank,Teller or Branch transactions,2,Poor customer service,service,00:03.2,03:12.8
18001897,1999,Male,nyanza,5 to 8,In Uni,Student,Yes,No,FINISHED,YES,Yes,KCB,Mobile banking,10,it keeps money save,,00:03.2,21:27.7
2941450,1994,Male,eastern,9 to 12,Completed Secondary,Non-skilled worker,Yes,No,TIMEDOUT,-,-,-,-,-,-,,00:03.3,00:03.6
18001940,1997,Male,riftvalley,9 to 12,In Uni,Student,Yes,No,FINISHED,YES,Yes,Equity,Bank agent/ agency banking,8,It''s convenient and reliable,"accessibility,speed/efficiency",00:03.3,05:59.3
2302470,1994,Female,eastern,9 to 12,Completed Primary,Skilled worker,Yes,No,FINISHED,YES,Yes,KCB,Bank agent/ agency banking,10,2,,00:03.3,44:04.9
18002765,1992,Male,western,13 to 17,No school,Student,Yes,Yes,FINISHED,YES,Yes,Equity,Teller or Branch transactions,9,It is competent and transparency,,00:03.3,03:15.0
5609980,1995,Female,coast,5 to 8,Some University,Student,Yes,No,FINISHED,YES,Yes,Co-operative,ATM,8,It gives good services,service,00:03.4,06:42.1
2930816,1992,Male,eastern,NA,Completed College,Non-skilled worker,Yes,No,TIMEDOUT,-,-,-,-,-,-,,00:03.5,00:03.5
2415572,1996,Male,riftvalley,5 to 8,Some University,Student,Yes,No,FINISHED,YES,Yes,KCB,Mobile banking,9,Due to there high tariffs I can''t give them a 10. But their services are very okay,service,00:03.5,03:42.2
2938843,1997,Female,coast,5 to 8,Some University,Student,No,No,FINISHED,YES,No,-,-,-,-,,00:03.5,00:36.2
18002271,1994,Female,NA,NA,NA,Student,Yes,Yes,TIMEDOUT,-,-,-,-,-,-,,00:03.6,00:02.5
2895283,1990,Female,riftvalley,9 to 12,Completed Primary,Street or Market Seller,Yes,Yes,FINISHED,YES,No,-,-,-,-,,00:03.6,29:18.9
2270484,1995,Male,riftvalley,9 to 12,Completed Primary,Own Business,Yes,No,TIMEDOUT,YES,Yes,KCB,-,-,-,,00:03.6,00:02.3
5747597,1991,Male,western,9 to 12,Completed Secondary,Street or Market Seller,Yes,Yes,FINISHED,YES,No,-,-,-,-,,00:03.6,39:56.5
2890213,1972,Female,western,5 to 8,Completed College,Street or Market Seller,Yes,No,FINISHED,YES,Yes,KCB,Mobile banking,9,It easy to bank and it promotes people,speed/efficiency,00:03.7,10:02.7
2908582,1995,Male,nyanza,5 to 8,Some University,Student,Yes,No,FINISHED,YES,Yes,Equity,ATM,8,They Welcome and serve customers well,service,00:03.9,17:22.0
18002609,1993,Female,western,1 to 4,Completed Secondary,Student,No,No,FINISHED,YES,Yes,National Bank,ATM,10,"Its Service Are Good,",service,00:03.9,07:02.2
18002600,1992,Female,NA,9 to 12,In Uni,Student,Yes,No,FINISHED,YES,Yes,KCB,Mobile banking,9,my number,,00:03.9,10:53.5
2266082,1993,Male,eastern,9 to 12,Completed University,Other/Unemployed,Yes,Yes,FINISHED,YES,Yes,KCB,ATM,0,Small savings,,00:03.9,43:38.2
2941189,1992,Male,nyanza,9 to 12,Completed College,Student,Yes,Yes,FINISHED,YES,Yes,Co-operative,Teller or Branch transactions,6,Less teller officers hence slow in producing,"speed/efficiency,staff",00:04.0,21:44.6
4230891,1994,Male,western,NA,NA,Other/Unemployed,Yes,NA,TIMEDOUT,-,-,-,-,-,-,,00:04.0,00:02.4
2923123,1994,Male,riftvalley,9 to 12,Some University,Student,Yes,No,TIMEDOUT,-,-,-,-,-,-,,00:04.0,00:03.6
5589285,1993,Male,nairobi,13 to 17,Some University,Student,Yes,Yes,FINISHED,YES,Yes,KCB,Teller or Branch transactions,10,Good service,service,00:04.0,42:36.8
2907191,1996,Female,eastern,9 to 12,Some University,Student,Yes,No,FINISHED,YES,Yes,Equity,ATM,9,Its efficient,speed/efficiency,00:02.9,07:43.8
2267331,1994,Male,nyanza,5 to 8,Completed College,Farm owner,Yes,No,FINISHED,YES,No,-,-,-,-,,00:02.9,01:04.3
2417745,1990,Male,riftvalley,9 to 12,Completed College,Other/Unemployed,Yes,No,FINISHED,YES,Yes,Equity,Mobile banking,10,Efficiency,speed/efficiency,00:02.9,09:00.5
2927337,1991,Female,riftvalley,5 to 8,Completed Uni,Other/Unemployed,Yes,No,FINISHED,YES,Yes,Equity,Bank agent/ agency banking,7,Faster and affordable services,"rates/charges,service,speed/efficiency",00:02.9,08:38.9
5640994,1963,Female,western,1 to 4,Some Primary,Own my own company,No,No,FINISHED,YES,Yes,Barclays,ATM,0,due to poverty,,00:02.9,12:33.4
2909244,1994,Male,riftvalley,9 to 12,Completed College,Street or Market Seller,Yes,Yes,FINISHED,YES,Yes,KCB,Mobile banking,5,Fairly good services.,service,00:03.0,05:32.7
2901185,1993,Male,western,5 to 8,Completed University,Street or Market Seller,Yes,No,FINISHED,YES,Yes,Equity,Bank agent/ agency banking,0,it has high interests and the procedure for loan application is very long,,00:03.0,03:19.8
18002010,1997,Female,riftvalley,1 to 4,Some Uni,Farm owner,No,No,TIMEDOUT,YES,-,-,-,-,-,,00:03.0,00:03.4
17391176,2000,Male,coast,5 to 8,In Uni,Student,Yes,No,FINISHED,YES,No,-,-,-,-,,00:03.0,01:14.5
18002761,1998,Male,coast,9 to 12,In Uni,Student,Yes,Yes,TIMEDOUT,-,-,-,-,-,-,,00:03.2,00:03.4
18002628,1997,NA,NA,NA,NA,NA,NA,NA,TIMEDOUT,-,-,-,-,-,-,,00:03.2,00:03.4
2915995,1996,Female,central,5 to 8,Some University,Student,Yes,No,FINISHED,YES,Yes,KCB,ATM,7,Kcb is well accessible,accessibility,00:03.2,04:50.4
2916045,1993,Male,eastern,NA,NA,Other/Unemployed,NA,NA,TIMEDOUT,-,-,-,-,-,-,,00:03.2,00:03.4
18003138,1994,Male,riftvalley,5 to 8,In College,Student,Yes,No,FINISHED,YES,Yes,KCB,Teller or Branch transactions,10,Many customers prefare due to lower transactions fee compared to other banking companies,"accessibility,account,service",00:03.3,38:07.2
5580851,1992,Female,riftvalley,9 to 12,Completed College,Other/Unemployed,Yes,Yes,FINISHED,YES,Yes,Equity,ATM,10,It is effective,,00:03.3,43:04.9
2915704,1995,Female,western,13 to 17,Completed PostGrad,Farm owner,Yes,Yes,FINISHED,YES,Yes,Equity,Teller or Branch transactions,10,Efficient services,"service,speed/efficiency",00:03.3,03:32.2
2944683,1996,Female,coast,5 to 8,Completed Primary,Skilled worker,Yes,No,FINISHED,YES,No,-,-,-,-,,00:03.3,52:14.9
2924806,1997,Male,central,5 to 8,Some University,Student,Yes,No,TIMEDOUT,-,-,-,-,-,-,,00:03.3,00:03.4
